City,RMSE,Test_Size
Aizawl,5.437390678561211,23
Ernakulam,8.226896023520547,33
Shillong,12.035304799791577,62
Thiruvananthapuram,22.84916352491333,223
Kochi,23.191560638484095,33
Chandigarh,26.41304560906255,61
Bhopal,33.212345157764624,58
Bengaluru,34.409125610415536,402
Coimbatore,35.83373108218719,78
Chennai,36.96834469021698,402
Hyderabad,46.64122822321514,402
Jaipur,51.938096518260586,223
Visakhapatnam,52.16309956433205,293
Mumbai,54.051434529602595,402
Jorapokhar,54.99525824265833,234
Brajrajnagar,61.54110884691412,188
Amaravati,68.79956244378654,191
Lucknow,97.8358591246888,402
Patna,101.70482427430176,372
Delhi,114.06578606107665,402
Amritsar,121.76646506642774,245
Kolkata,127.95085263736142,163
Gurugram,130.26415649551805,336
Guwahati,142.8972113738093,101
Talcher,167.67858497938826,185
Ahmedabad,262.78668153027246,402
