Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2015-11-27,Gurugram,,,5.28,8.37,9.57,,2.88,15.92,5.96,,,,202.0,
2015-11-28,Gurugram,,,4.71,8.0,9.74,,0.47,5.78,8.13,,,,202.0,
2015-11-29,Gurugram,,,3.1,8.04,8.69,,1.67,5.26,16.52,,,,202.0,
2015-11-30,Gurugram,,,3.9,8.21,9.54,,1.45,7.51,6.29,,,,202.0,
2015-12-01,Gurugram,,,3.36,8.13,8.86,,1.45,3.72,10.5,,,,202.0,
2015-12-02,Gurugram,,,7.59,10.25,11.2,,2.08,6.99,10.1,,,,202.0,
2015-12-03,Gurugram,,,13.11,14.27,14.32,,0.66,2.69,8.75,,,,202.0,
2015-12-04,Gurugram,,,14.32,12.84,13.94,,3.91,14.63,16.09,,,,202.0,
2015-12-05,Gurugram,,,12.82,15.38,14.28,,2.09,9.1,19.52,,,,202.0,
2015-12-06,Gurugram,,,,,,,,,,,,,202.0,
2015-12-07,Gurugram,,,13.35,14.02,14.55,,1.63,3.75,25.7,,,,202.0,
2015-12-08,Gurugram,,,13.57,14.27,15.36,,1.72,5.47,25.28,,,,202.0,
2015-12-09,Gurugram,,,11.96,13.8,14.81,,1.38,4.25,14.06,,,,202.0,
2015-12-10,Gurugram,,,12.63,12.82,14.9,,1.47,2.03,1.97,,,,202.0,
2015-12-11,Gurugram,,,12.92,15.34,14.71,,1.42,12.16,15.02,,,,202.0,
2015-12-12,Gurugram,,,14.65,14.3,14.68,,0.42,4.67,2.86,,,,202.0,
2015-12-13,Gurugram,,,,,,,,,,,,,202.0,
2015-12-14,Gurugram,,,12.69,15.39,14.21,,0.68,8.0,30.92,,,,202.0,
2015-12-15,Gurugram,,,15.48,13.39,15.09,,0.2,4.22,21.46,,,,202.0,
2015-12-16,Gurugram,,,14.27,14.84,15.07,,1.39,5.73,15.37,,,,202.0,
2015-12-17,Gurugram,,,,,,,,,,,,,202.0,
2015-12-18,Gurugram,,,,,,,,,,,,,202.0,
2015-12-19,Gurugram,,,,,,,,,,,,,202.0,
2015-12-20,Gurugram,,,,,,,,,,,,,202.0,
2015-12-21,Gurugram,,,15.58,17.88,15.35,,1.96,12.38,20.65,,,,202.0,
2015-12-22,Gurugram,,,15.8,17.05,15.57,,2.44,10.24,1.24,,,,202.0,
2015-12-23,Gurugram,,,16.01,16.16,15.54,,1.74,18.91,14.1,,,,202.0,
2015-12-24,Gurugram,,,14.41,13.23,14.99,,1.69,2.89,1.55,,,,202.0,
2015-12-25,Gurugram,,,13.82,13.0,14.46,,1.51,4.79,14.64,,,,202.0,
2015-12-26,Gurugram,,,12.02,14.5,14.42,,1.59,5.04,13.92,,,,202.0,
2015-12-27,Gurugram,,,10.57,14.55,13.84,,1.42,5.06,14.77,,,,202.0,
2015-12-28,Gurugram,,,9.57,13.7,12.97,,1.44,5.94,16.97,,,,202.0,
2015-12-29,Gurugram,,,10.46,14.44,14.26,,1.39,5.63,19.21,,,,202.0,
2015-12-30,Gurugram,,,9.88,13.16,12.53,,1.0,14.24,21.88,,,,202.0,
2015-12-31,Gurugram,,,12.63,13.98,14.61,,1.43,5.41,28.88,,,,202.0,
2016-01-01,Gurugram,,,12.11,15.1,14.49,,0.43,25.52,27.4,,,,202.0,
2016-01-02,Gurugram,,,10.68,14.8,13.37,,1.22,46.7,1.25,,,,202.0,
2016-01-03,Gurugram,,,,,,,,,,,,,202.0,
2016-01-04,Gurugram,,,12.39,16.17,13.13,,1.32,4.76,25.02,,,,202.0,
2016-01-05,Gurugram,,,,,,,,,,,,,202.0,
2016-01-06,Gurugram,,,,,,,,,,,,,202.0,
2016-01-07,Gurugram,,,16.64,10.41,14.05,,1.14,11.81,9.84,,,,202.0,
2016-01-08,Gurugram,,,17.47,10.07,14.86,,0.82,11.32,1.6,,,,202.0,
2016-01-09,Gurugram,,,17.79,8.73,14.56,,,6.06,1.54,,,,202.0,
2016-01-10,Gurugram,,,,,,,,,,,,,202.0,
2016-01-11,Gurugram,,,16.55,8.36,13.92,,1.98,7.83,16.98,,,,202.0,
2016-01-12,Gurugram,,,15.19,8.94,14.2,,1.18,5.99,8.56,,,,202.0,
2016-01-13,Gurugram,,,,,,,,,,,,,202.0,
2016-01-14,Gurugram,,,16.48,8.06,13.46,,0.2,10.26,8.32,,,,202.0,
2016-01-15,Gurugram,,,13.83,10.26,12.5,,1.0,7.19,11.67,,,,202.0,
2016-01-16,Gurugram,,,19.59,10.41,16.37,,0.87,4.68,12.4,,,,202.0,
2016-01-17,Gurugram,,,17.31,10.1,15.53,,1.49,5.73,11.22,,,,202.0,
2016-01-18,Gurugram,,,15.72,8.72,15.71,,1.41,8.3,3.52,,,,202.0,
2016-01-19,Gurugram,,,,,,,,,,,,,202.0,
2016-01-20,Gurugram,,,,,,,,,,,,,202.0,
2016-01-21,Gurugram,,,15.14,9.08,14.9,,0.97,7.19,11.48,,,,202.0,
2016-01-22,Gurugram,120.47,,15.21,10.99,14.31,,1.41,12.48,3.95,,,,202.0,
2016-01-23,Gurugram,87.51,,15.75,8.25,14.43,,0.45,8.05,13.38,,,,202.0,Poor
2016-01-24,Gurugram,106.22,,15.09,7.39,13.78,,1.52,9.24,1.23,,,,209.0,Poor
2016-01-25,Gurugram,82.48,,15.09,10.99,14.78,,1.16,15.42,16.45,,,,233.0,
2016-01-26,Gurugram,124.33,,17.55,9.69,15.5,,0.96,9.14,4.05,,,,257.0,Poor
2016-01-27,Gurugram,,,,,,,,,,,,,236.125,
2016-01-28,Gurugram,,,,,,,,,,,,,215.25,
2016-01-29,Gurugram,,,,,,,,,,,,,194.375,
2016-01-30,Gurugram,,,,,,,,,,,,,173.5,
2016-01-31,Gurugram,,,,,,,,,,,,,152.625,
2016-02-01,Gurugram,,,,,,,,,,,,,131.75,
2016-02-02,Gurugram,36.12,,20.52,15.4,15.13,,0.5,16.15,25.7,,,,110.875,
2016-02-03,Gurugram,58.63,,18.54,14.94,15.12,,,4.96,27.26,,,,90.0,Satisfactory
2016-02-04,Gurugram,52.91,,17.02,9.59,14.43,,1.49,7.79,23.45,,,,95.0,Satisfactory
2016-02-05,Gurugram,103.23,,9.2,16.9,10.3,,1.5,8.75,16.66,,,,164.0,Moderate
2016-02-06,Gurugram,,,9.74,9.91,9.7,,1.54,11.14,0.57,,,,177.78571428571428,
2016-02-07,Gurugram,,,,,,,,,,,,,191.57142857142858,
2016-02-08,Gurugram,,,,19.2,12.64,,1.02,19.44,13.55,,,,205.35714285714286,
2016-02-09,Gurugram,,,,,,,1.4,6.02,3.57,,,,219.14285714285714,
2016-02-10,Gurugram,,,,14.07,9.56,,0.45,14.77,24.32,,,,232.92857142857144,
2016-02-11,Gurugram,,,11.17,18.68,11.69,,0.18,6.97,15.12,,,,246.71428571428572,
2016-02-12,Gurugram,,,9.17,15.92,11.05,,1.57,11.11,18.56,,,,260.5,
2016-02-13,Gurugram,,,7.83,17.03,10.5,,1.4,7.86,1.67,,,,274.2857142857143,
2016-02-14,Gurugram,,,,,,,,,,,,,288.07142857142856,
2016-02-15,Gurugram,,,,,,,,,,,,,301.8571428571429,
2016-02-16,Gurugram,70.74,,15.42,10.24,12.25,,1.55,,66.42,,,,315.6428571428571,
2016-02-17,Gurugram,,,,,,,,,,,,,329.42857142857144,
2016-02-18,Gurugram,188.98,,18.71,18.31,15.78,,1.28,13.56,,,,,343.2142857142857,
2016-02-19,Gurugram,199.01,,13.65,16.59,12.93,,0.28,6.66,0.55,,,,357.0,Very Poor
2016-02-20,Gurugram,,,,,,,,,,,,,352.8,
2016-02-21,Gurugram,,,,,,,,,,,,,348.6,
2016-02-22,Gurugram,,,,,,,,,,,,,344.4,
2016-02-23,Gurugram,88.27,,12.21,18.77,13.12,,1.13,7.07,22.54,,,,340.2,
2016-02-24,Gurugram,175.8,,11.5,19.53,12.39,,0.48,12.93,20.69,,,,336.0,Very Poor
2016-02-25,Gurugram,137.28,,10.66,9.48,9.46,,1.38,11.45,25.59,,,,322.0,Very Poor
2016-02-26,Gurugram,143.83,,8.9,11.22,7.91,,1.44,13.17,28.19,,,,312.0,Very Poor
2016-02-27,Gurugram,180.83,,11.15,14.95,11.32,,1.37,15.57,18.82,,,,343.0,Very Poor
2016-02-28,Gurugram,201.17,,8.79,10.32,8.06,,1.45,12.01,24.09,,,,359.0,Very Poor
2016-02-29,Gurugram,182.54,,8.82,10.73,7.98,,1.49,6.89,18.51,,,,346.0,Very Poor
2016-03-01,Gurugram,211.21,,7.79,10.53,8.1,,1.43,12.72,24.8,,,,364.0,Very Poor
2016-03-02,Gurugram,247.27,,5.55,10.94,7.67,,1.48,11.04,29.09,,,,379.0,Very Poor
2016-03-03,Gurugram,348.88,,4.16,8.97,7.56,,1.4,14.26,25.18,,,,460.0,Severe
2016-03-04,Gurugram,,,10.29,8.47,7.93,,1.28,9.53,32.19,,,,445.0,Severe
2016-03-05,Gurugram,,,,,,,,,,,,,394.75,
2016-03-06,Gurugram,,,,,,,,,,,,,344.5,
2016-03-07,Gurugram,78.56,,51.15,78.83,47.62,,0.27,10.04,30.93,,,,294.25,
2016-03-08,Gurugram,97.88,,13.69,34.12,17.26,,,9.58,28.46,,,,244.0,Poor
2016-03-09,Gurugram,539.41,,20.24,40.8,36.5,,1.36,7.28,21.86,,,,442.0,Severe
2016-03-10,Gurugram,914.94,,44.34,63.94,42.71,,1.45,0.64,0.8,,,,676.0,Severe
2016-03-11,Gurugram,,,,,,,,,,,,,646.8235294117648,
2016-03-12,Gurugram,,,,,,,,,,,,,617.6470588235294,
2016-03-13,Gurugram,,,,,,,,,,,,,588.4705882352941,
2016-03-14,Gurugram,,,,,,,,,,,,,559.2941176470588,
2016-03-15,Gurugram,,,,,,,,,,,,,530.1176470588235,
2016-03-16,Gurugram,58.9,,4.1,,12.51,,0.87,10.62,43.65,,,,500.94117647058823,
2016-03-17,Gurugram,894.75,,4.46,48.76,17.45,,1.43,13.43,37.98,,,,471.7647058823529,
2016-03-18,Gurugram,581.05,,7.02,46.75,17.93,,1.22,17.42,30.51,,,,442.5882352941177,
2016-03-19,Gurugram,,,,,,,,,,,,,413.4117647058824,
2016-03-20,Gurugram,,,,,,,,,,,,,384.2352941176471,
2016-03-21,Gurugram,,,,,,,,,,,,,355.05882352941177,
2016-03-22,Gurugram,,,,,,,,,,,,,325.88235294117646,
2016-03-23,Gurugram,,,,,,,,,,,,,296.70588235294116,
2016-03-24,Gurugram,,,,,,,,,,,,,267.5294117647059,
2016-03-25,Gurugram,62.4,,4.65,45.91,16.74,,0.79,,46.85,,,,238.3529411764706,
2016-03-26,Gurugram,40.5,,,35.09,14.5,,1.37,11.97,17.07,,,,209.1764705882353,
2016-03-27,Gurugram,79.43,,5.56,31.01,13.22,,1.12,11.31,30.98,,,,180.0,Moderate
2016-03-28,Gurugram,197.75,,12.54,33.61,17.27,,1.46,16.38,26.13,,,,341.0,Very Poor
2016-03-29,Gurugram,124.42,,5.71,33.18,11.24,,1.4,19.4,43.79,,,,208.0,Poor
2016-03-30,Gurugram,264.74,,13.22,50.59,22.91,,1.57,33.97,27.58,,,,367.0,Very Poor
2016-03-31,Gurugram,186.4,,48.3,110.34,45.41,,2.03,23.38,24.63,,,,401.0,Severe
2016-04-01,Gurugram,66.52,,4.66,36.51,14.63,,1.13,20.44,29.48,,,,325.0,Very Poor
2016-04-02,Gurugram,,,13.67,47.5,22.34,,1.48,29.93,26.68,,,,317.625,
2016-04-03,Gurugram,,,42.76,90.73,40.58,,2.3,30.97,31.53,,,,310.25,
2016-04-04,Gurugram,76.29,,21.73,43.72,25.75,,1.37,21.97,17.55,,,,302.875,
2016-04-05,Gurugram,70.05,,3.94,28.73,12.28,,1.05,12.95,34.73,,,,295.5,
2016-04-06,Gurugram,,,6.3,41.72,16.81,,1.18,18.04,33.38,,,,288.125,
2016-04-07,Gurugram,,,12.94,39.56,19.79,,1.16,19.65,31.06,,,,280.75,
2016-04-08,Gurugram,115.6,,11.28,46.36,20.65,,1.39,15.05,33.45,,,,273.375,
2016-04-09,Gurugram,99.83,,37.58,83.45,39.6,,2.05,24.69,36.16,,,,266.0,Poor
2016-04-10,Gurugram,83.23,,6.07,37.45,15.64,,1.23,25.1,39.34,,,,190.0,Moderate
2016-04-11,Gurugram,84.45,,5.48,30.12,13.37,,0.95,18.06,34.36,,,,186.0,Moderate
2016-04-12,Gurugram,70.79,,4.68,21.94,12.36,,0.91,15.18,41.77,,,,144.0,Moderate
2016-04-13,Gurugram,82.6,,5.34,31.5,13.51,,1.16,18.19,34.96,,,,156.0,Moderate
2016-04-14,Gurugram,84.9,,11.83,37.63,18.82,,1.43,11.16,32.53,,,,202.0,Poor
2016-04-15,Gurugram,109.9,,39.56,53.4,37.84,,1.81,14.57,27.98,,,,228.0,Poor
2016-04-16,Gurugram,107.76,,18.76,47.93,25.07,,1.63,12.52,17.46,,,,276.0,Poor
