Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2017-04-20,Jorapokhar,,119.49,7.75,9.26,,,0.32,28.43,18.88,,,,148.0,
2017-04-21,Jorapokhar,,170.61,8.0,10.2,,,0.27,29.35,15.85,,,,148.0,Moderate
2017-04-22,Jorapokhar,,124.64,7.92,9.45,,,0.29,33.34,17.76,,,,135.0,Moderate
2017-04-23,Jorapokhar,,107.36,7.74,9.39,,,0.31,34.1,21.71,,,,107.0,Moderate
2017-04-24,Jorapokhar,,178.28,7.49,10.72,,,0.33,38.16,17.94,,,,124.0,Moderate
2017-04-25,Jorapokhar,,178.55,7.95,11.07,,,0.39,13.11,21.16,,,,156.0,Moderate
2017-04-26,Jorapokhar,,312.48,8.22,12.64,,,0.31,52.54,24.6,,,,211.0,Poor
2017-04-27,Jorapokhar,,261.1,8.02,11.34,,,0.32,70.8,24.12,,,,247.0,Poor
2017-04-28,Jorapokhar,,151.89,7.84,10.4,,,0.28,25.56,17.64,,,,161.0,Moderate
2017-04-29,Jorapokhar,,188.39,7.97,10.42,,,0.28,57.19,20.48,,,,157.0,Moderate
2017-04-30,Jorapokhar,,99.66,8.04,8.75,,,0.29,16.33,15.45,,,,120.0,Moderate
2017-05-01,Jorapokhar,,89.09,8.06,7.8,,,0.33,20.0,12.01,,,,101.0,Moderate
2017-05-02,Jorapokhar,,105.54,7.86,10.29,,,0.59,46.35,31.84,,,,96.0,
2017-05-03,Jorapokhar,,87.13,7.57,8.8,,,0.31,23.9,19.92,,,,91.0,Satisfactory
2017-05-04,Jorapokhar,,121.63,7.67,8.69,,,0.3,38.21,19.84,,,,96.0,Satisfactory
2017-05-05,Jorapokhar,,124.83,7.72,9.04,,,0.32,,22.1,,,,121.0,Moderate
2017-05-06,Jorapokhar,,169.22,7.8,9.45,,,0.36,,29.21,,,,137.0,Moderate
2017-05-07,Jorapokhar,,107.19,7.9,9.27,,,0.3,,33.89,,,,120.0,Moderate
2017-05-08,Jorapokhar,,103.55,7.98,9.76,,,0.36,5.62,14.69,,,,103.0,Moderate
2017-05-09,Jorapokhar,,135.11,7.78,9.24,,,0.29,36.97,,,,,113.0,Moderate
2017-05-10,Jorapokhar,,156.37,7.78,9.59,,,0.31,59.05,33.75,,,,130.0,Moderate
2017-05-11,Jorapokhar,,128.4,7.94,9.01,,,0.31,12.28,16.65,,,,136.0,Moderate
2017-05-12,Jorapokhar,,87.52,7.73,9.37,,,0.33,26.48,18.44,,,,100.0,Satisfactory
2017-05-13,Jorapokhar,,205.38,7.71,9.77,,,0.3,42.19,19.6,,,,139.0,Moderate
2017-05-14,Jorapokhar,,194.08,7.67,10.02,,,0.43,28.22,28.14,,,,176.0,Moderate
2017-05-15,Jorapokhar,,149.04,7.91,9.49,,,0.33,25.57,50.33,,,,152.0,Moderate
2017-05-16,Jorapokhar,,92.3,7.53,8.47,,,0.27,22.19,50.94,,,,114.0,Moderate
2017-05-17,Jorapokhar,,120.26,7.74,9.47,,,0.3,18.81,17.59,,,,110.0,Moderate
2017-05-18,Jorapokhar,,115.24,7.91,9.56,,,0.4,43.43,48.65,,,,112.0,Moderate
2017-05-19,Jorapokhar,,111.91,7.98,9.82,,,0.39,21.08,36.24,,,,106.0,Moderate
2017-05-20,Jorapokhar,,94.15,7.57,8.57,,,0.3,59.65,29.28,,,,100.0,Satisfactory
2017-05-21,Jorapokhar,,130.72,7.82,8.66,,,0.29,52.08,37.25,,,,105.0,Moderate
2017-05-22,Jorapokhar,,154.29,7.47,8.47,,,0.36,36.18,28.23,,,,130.0,Moderate
2017-05-23,Jorapokhar,,149.02,7.94,9.68,,,0.44,65.81,34.31,,,,131.0,Moderate
2017-05-24,Jorapokhar,,195.18,7.83,10.22,,,0.38,23.99,15.75,,,,149.0,Moderate
2017-05-25,Jorapokhar,,136.9,7.94,9.84,,,0.31,48.14,10.3,,,,146.0,Moderate
2017-05-26,Jorapokhar,,98.77,8.15,9.9,,,0.28,31.56,6.42,,,,117.0,Moderate
2017-05-27,Jorapokhar,,83.56,8.12,10.32,,,0.42,39.88,10.19,,,,93.0,Satisfactory
2017-05-28,Jorapokhar,,78.74,7.94,8.95,,,0.3,30.16,5.72,,,,94.0,Satisfactory
2017-05-29,Jorapokhar,,109.26,8.07,10.44,,,0.43,38.3,12.95,,,,84.0,Satisfactory
2017-05-30,Jorapokhar,,116.99,8.09,9.25,,,0.43,38.71,11.59,,,,110.0,Moderate
2017-05-31,Jorapokhar,,129.23,8.17,10.45,,,0.42,47.44,7.08,,,,116.0,Moderate
2017-06-01,Jorapokhar,,101.19,7.94,9.28,,,0.39,26.29,16.13,,,,109.0,Moderate
2017-06-02,Jorapokhar,,167.86,7.77,9.85,,,0.36,46.82,11.6,,,,119.0,Moderate
2017-06-03,Jorapokhar,,197.14,8.02,10.65,,,0.34,28.47,16.98,,,,155.0,Moderate
2017-06-04,Jorapokhar,,175.7,8.12,8.73,,,0.38,42.62,22.45,,,,160.0,Moderate
2017-06-05,Jorapokhar,,130.9,8.06,9.7,,,0.34,34.66,10.02,,,,133.0,Moderate
2017-06-06,Jorapokhar,,119.44,8.1,9.2,,,0.35,24.31,12.56,,,,126.0,Moderate
2017-06-07,Jorapokhar,,177.78,7.76,8.99,,,0.4,41.41,10.77,,,,123.0,Moderate
2017-06-08,Jorapokhar,,154.1,7.96,9.89,,,0.4,41.89,6.7,,,,147.0,Moderate
2017-06-09,Jorapokhar,,105.49,7.77,9.02,,,0.4,20.14,5.77,,,,125.0,Moderate
2017-06-10,Jorapokhar,,97.97,7.88,10.04,,,0.34,53.68,12.18,,,,100.0,Satisfactory
2017-06-11,Jorapokhar,,107.84,7.95,9.78,,,0.36,39.08,5.27,,,,104.0,Moderate
2017-06-12,Jorapokhar,,84.11,7.67,8.96,,,0.38,,13.51,,,,98.0,Satisfactory
2017-06-13,Jorapokhar,,138.42,7.91,9.26,,,0.29,,17.73,,,,100.0,Satisfactory
2017-06-14,Jorapokhar,,186.63,8.15,9.83,,,0.43,52.3,21.69,,,,149.0,Moderate
2017-06-15,Jorapokhar,,81.65,6.87,9.53,,,0.34,23.99,10.24,,,,124.0,Moderate
2017-06-16,Jorapokhar,,122.54,21.64,13.85,,,0.3,15.99,9.0,,,,101.0,Moderate
2017-06-17,Jorapokhar,,107.21,7.97,10.3,,,0.42,34.81,24.8,,,,104.0,Moderate
2017-06-18,Jorapokhar,,161.58,7.68,9.53,,,0.28,16.38,26.71,,,,153.0,Moderate
2017-06-19,Jorapokhar,,110.27,7.77,9.79,,,0.31,25.25,14.85,,,,124.0,Moderate
2017-06-20,Jorapokhar,,51.38,7.88,9.75,,,0.31,16.46,10.08,,,,82.0,Satisfactory
2017-06-21,Jorapokhar,,63.41,8.13,9.33,,,0.32,11.59,11.76,,,,53.0,Satisfactory
2017-06-22,Jorapokhar,,99.72,,,,,0.31,20.21,8.33,,,,71.0,Satisfactory
2017-06-23,Jorapokhar,,155.17,,,,,,19.29,10.18,,,,135.0,Moderate
2017-06-24,Jorapokhar,,184.27,,,,,,18.46,8.07,,,,119.0,Moderate
2017-06-25,Jorapokhar,,,,,,,,20.34,3.81,,,,116.34615384615384,
2017-06-26,Jorapokhar,,,,,,,,33.22,2.41,,,,113.6923076923077,
2017-06-27,Jorapokhar,,,,,,,,50.28,2.02,,,,111.03846153846153,
2017-06-28,Jorapokhar,,,,,,,,,,,,,108.38461538461539,
2017-06-29,Jorapokhar,,189.13,,,,,0.19,2.98,35.52,,,,105.73076923076923,
2017-06-30,Jorapokhar,,92.0,6.04,6.97,,,0.15,45.15,9.01,,,,103.07692307692308,
2017-07-01,Jorapokhar,,,,,,,0.0,,,,,,100.42307692307692,
2017-07-02,Jorapokhar,,,,,,,0.0,,,,,,97.76923076923077,
2017-07-03,Jorapokhar,,71.43,9.28,15.51,,,0.13,19.36,10.32,,,,95.11538461538461,
2017-07-04,Jorapokhar,,16.39,12.53,17.16,,,0.03,75.55,3.54,,,,92.46153846153847,
2017-07-05,Jorapokhar,,20.45,7.36,12.39,,,0.05,6.15,7.86,,,,89.8076923076923,
2017-07-06,Jorapokhar,,,,,,,0.0,,,,,,87.15384615384616,
2017-07-07,Jorapokhar,,69.48,8.29,13.31,,,0.15,11.76,4.38,,,,84.5,
2017-07-08,Jorapokhar,,,,,,,0.0,,,,,,81.84615384615384,
2017-07-09,Jorapokhar,,37.55,7.41,12.39,,,0.0,,1.01,,,,79.1923076923077,
2017-07-10,Jorapokhar,,49.74,8.62,14.43,,,0.05,9.98,5.47,,,,76.53846153846155,
2017-07-11,Jorapokhar,,76.65,8.78,22.16,,,0.03,20.04,2.48,,,,73.88461538461539,
2017-07-12,Jorapokhar,,83.4,8.34,17.66,,,0.07,15.22,2.75,,,,71.23076923076923,
2017-07-13,Jorapokhar,,,,,,,,,,,,,68.57692307692308,
2017-07-14,Jorapokhar,,,,,,,,,,,,,65.92307692307693,
2017-07-15,Jorapokhar,,,,,,,,,,,,,63.269230769230774,
2017-07-16,Jorapokhar,,,,,,,,,,,,,60.61538461538462,
2017-07-17,Jorapokhar,,59.05,6.19,11.26,,,0.28,21.7,44.42,,,,57.96153846153847,
2017-07-18,Jorapokhar,,57.2,6.65,10.82,,,0.02,18.17,6.81,,,,55.30769230769231,
2017-07-19,Jorapokhar,,41.89,6.77,10.29,,,0.15,16.69,2.56,,,,52.65384615384616,
2017-07-20,Jorapokhar,,54.63,7.07,11.37,,,0.35,15.39,,,,,50.0,Good
2017-07-21,Jorapokhar,,53.05,7.06,11.28,,,0.35,14.2,,,,,54.0,Satisfactory
2017-07-22,Jorapokhar,,,,,,,0.0,,,,,,46.333333333333336,
