Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2019-08-27,Shillong,28.43,37.88,1.27,3.56,1.39,3.66,0.35,4.99,32.93,0.31,,,37.0,
2019-08-28,Shillong,18.42,26.65,1.28,3.5,1.33,3.64,0.29,5.15,28.46,0.22,0.72,,37.0,Good
2019-08-29,Shillong,18.36,26.11,1.33,3.53,1.28,3.63,0.31,5.85,33.5,0.12,0.55,,40.0,Good
2019-08-30,Shillong,17.45,25.16,1.31,3.49,1.27,3.65,0.34,5.97,27.85,0.09,0.17,,35.0,Good
2019-08-31,Shillong,16.96,25.31,1.32,3.54,1.29,3.65,0.29,5.86,22.17,0.18,0.14,,32.0,Good
2019-09-01,Shillong,8.89,14.37,1.31,3.52,1.3,3.63,0.23,5.76,29.69,0.1,0.73,,31.0,Good
2019-09-02,Shillong,914.64,985.0,1.32,3.61,1.36,3.63,0.23,5.56,27.96,0.14,0.99,,51.5,
2019-09-03,Shillong,917.77,985.0,1.26,3.56,1.4,3.64,0.19,5.55,25.2,0.13,0.92,,72.0,
2019-09-04,Shillong,274.92,368.06,1.28,3.63,1.44,3.66,0.28,5.14,19.11,0.26,1.42,,92.5,
2019-09-05,Shillong,8.35,14.68,1.24,3.57,1.44,3.64,0.25,4.99,20.95,0.23,1.26,,113.0,Moderate
2019-09-06,Shillong,8.32,16.12,1.23,3.55,1.44,3.65,0.29,4.93,18.72,0.32,1.37,,25.0,Good
2019-09-07,Shillong,4.2,9.07,1.23,3.56,1.44,3.65,0.18,5.0,25.14,0.14,0.77,,31.0,Good
2019-09-08,Shillong,4.34,8.67,1.26,3.57,1.41,3.64,0.18,5.11,28.71,0.13,0.79,,33.0,Good
2019-09-09,Shillong,4.94,10.61,1.22,3.55,1.45,3.65,0.21,5.14,29.84,0.16,0.83,,35.0,Good
2019-09-10,Shillong,9.82,15.96,1.21,3.53,1.45,3.65,0.24,5.46,28.78,0.19,0.86,,35.0,Good
2019-09-11,Shillong,11.37,19.57,1.29,3.54,1.35,3.64,0.29,6.12,25.39,0.24,0.69,,40.0,Good
2019-09-12,Shillong,5.79,10.72,1.3,3.51,1.32,3.65,0.23,5.69,23.95,0.16,0.99,,30.0,Good
2019-09-13,Shillong,7.94,13.81,1.27,3.61,1.44,3.64,0.32,5.13,23.52,0.28,1.18,,30.0,Good
2019-09-14,Shillong,5.9,13.28,1.17,3.49,1.46,3.64,0.17,5.23,34.68,0.11,0.49,,38.0,Good
2019-09-15,Shillong,8.57,16.29,1.23,3.58,1.46,3.64,0.18,5.27,40.85,0.12,0.49,,51.0,Satisfactory
2019-09-16,Shillong,9.93,18.77,1.19,3.56,1.5,3.64,0.2,5.2,44.41,0.14,0.49,,60.0,Satisfactory
2019-09-17,Shillong,11.9,22.69,1.22,3.55,1.46,3.64,0.23,5.34,29.16,0.19,0.72,,41.0,Good
2019-09-18,Shillong,13.02,23.29,2.94,5.07,0.96,3.66,0.22,5.4,34.46,0.21,0.64,,42.0,Good
2019-09-19,Shillong,13.23,23.69,1.42,3.42,1.29,3.66,0.27,5.53,31.21,0.26,0.82,,37.0,Good
2019-09-20,Shillong,17.9,27.86,1.23,3.56,1.46,3.64,0.32,5.63,24.68,0.42,1.04,,32.0,Good
2019-09-21,Shillong,18.81,27.76,1.18,3.54,1.48,3.66,0.28,5.69,23.7,0.38,0.97,,31.0,Good
2019-09-22,Shillong,14.72,25.65,1.21,3.53,1.45,3.66,0.27,5.59,25.26,0.4,1.17,,31.0,Good
2019-09-23,Shillong,10.24,18.57,1.2,3.59,1.51,3.65,0.35,5.54,31.03,0.37,1.27,,44.0,Good
2019-09-24,Shillong,13.24,22.97,1.16,3.55,1.52,3.66,0.49,5.49,27.48,0.47,1.57,,43.0,Good
2019-09-25,Shillong,8.71,13.85,1.15,3.54,1.52,3.66,0.43,5.48,24.93,0.4,1.44,,38.0,Good
2019-09-26,Shillong,6.63,12.66,1.14,3.52,1.52,3.66,0.4,5.55,25.75,0.43,1.73,,40.0,Good
2019-09-27,Shillong,13.14,21.3,1.17,3.59,1.55,3.66,0.46,5.66,26.7,0.48,1.34,,40.0,Good
2019-09-28,Shillong,8.52,15.84,1.15,3.55,1.53,3.66,0.24,5.68,37.11,0.21,0.49,,49.0,Good
2019-09-29,Shillong,8.08,15.48,1.13,3.54,1.55,3.66,0.26,5.63,33.34,0.2,0.53,,38.0,Good
2019-09-30,Shillong,11.79,20.79,1.15,3.56,1.54,3.67,0.46,5.68,31.49,0.49,1.46,,46.0,Good
2019-10-01,Shillong,5.11,10.05,1.16,3.57,1.53,3.68,0.32,5.69,31.71,0.26,0.8,,40.0,Good
2019-10-02,Shillong,15.38,21.8,1.12,3.58,1.58,3.66,0.29,5.75,38.39,0.33,0.64,,47.0,Good
2019-10-03,Shillong,16.97,26.93,1.12,3.55,1.57,3.67,0.53,5.87,31.82,0.6,1.75,,59.0,Satisfactory
2019-10-04,Shillong,17.43,26.69,1.13,3.5,1.52,3.67,0.46,5.98,43.49,0.48,1.35,,56.0,Satisfactory
2019-10-05,Shillong,19.67,32.09,1.11,3.5,0.63,3.62,0.29,5.77,41.42,0.12,0.15,,49.0,Good
