City,RMSE,Order
Aizawl,5.437390678561211,"(0, 1, 0)"
Ernakulam,8.226896023520547,"(0, 1, 0)"
Shillong,12.035304799791577,"(1, 1, 2)"
Thiruvananthapuram,22.84916352491333,"(1, 1, 1)"
Kochi,23.191560638484095,"(0, 1, 0)"
Chandigarh,26.41304560906255,"(4, 1, 1)"
Bhopal,33.212345157764624,"(2, 1, 1)"
Bengaluru,34.409125610415536,"(1, 1, 1)"
Coimbatore,35.83373108218719,"(4, 0, 2)"
Chennai,36.96834469021698,"(1, 1, 1)"
Hyderabad,46.64122822321514,"(0, 1, 3)"
Jaipur,51.938096518260586,"(2, 1, 1)"
Visakhapatnam,52.16309956433205,"(2, 0, 2)"
Mumbai,54.051434529602595,"(4, 1, 1)"
Jorapokhar,54.99525824265833,"(1, 1, 2)"
Brajrajnagar,61.54110884691412,"(5, 1, 1)"
Amaravati,68.79956244378654,"(2, 1, 1)"
Lucknow,97.8358591246888,"(2, 1, 2)"
Patna,101.70482427430176,"(2, 0, 2)"
Delhi,114.06578606107665,"(1, 1, 2)"
Amritsar,121.76646506642774,"(2, 1, 1)"
Kolkata,127.95085263736142,"(3, 1, 2)"
Gurugram,130.26415649551805,"(3, 1, 3)"
Guwahati,142.8972113738093,"(3, 1, 1)"
Talcher,167.67858497938826,"(1, 1, 2)"
Ahmedabad,262.78668153027246,"(1, 1, 2)"
