City,RMSE,Order
Aizawl,4.678803241129973,"(2, 1, 4)"
Shillong,11.79263044132173,"(4, 1, 5)"
Kochi,12.851686247491983,"(2, 1, 1)"
Ernakulam,25.490301680316367,"(2, 2, 3)"
Thiruvananthapuram,26.01117843685605,"(5, 1, 4)"
Chandigarh,26.483120172503003,"(4, 1, 3)"
Bengaluru,28.805471941675943,"(2, 0, 1)"
Bhopal,33.720440576314125,"(2, 1, 4)"
Chennai,37.036135732519384,"(3, 1, 4)"
Coimbatore,40.101147250232074,"(3, 1, 3)"
Hyderabad,46.46585955116259,"(3, 1, 5)"
Visakhapatnam,47.05208760134942,"(5, 1, 5)"
Jaipur,48.97251186091933,"(2, 1, 5)"
Mumbai,53.81920778127251,"(4, 1, 5)"
Jorapokhar,55.581420498516785,"(5, 1, 5)"
Brajrajnagar,62.057504833878845,"(0, 1, 4)"
Amaravati,65.50314299802356,"(5, 1, 4)"
Lucknow,97.95533369122,"(0, 1, 4)"
Delhi,114.06578606107665,"(1, 1, 2)"
Patna,118.71157123443517,"(5, 1, 3)"
Amritsar,121.79472243820275,"(4, 1, 3)"
Kolkata,128.19764690912902,"(5, 1, 4)"
Gurugram,130.02879593620096,"(4, 1, 3)"
Guwahati,144.52274331154794,"(0, 1, 2)"
Talcher,168.14126235444022,"(4, 1, 3)"
Ahmedabad,262.78668153027246,"(1, 1, 2)"
